stack=a5n_s0_ch1;stackdb=a5n_s0_db2;saveTime=3531199745.955000;version=20151102_v1;numObjects=15;numSpines=5;condStr=None;voxelx=0.27;voxely=0.27;voxelz=1;
Idx,roiType,roiTypeNum,x,y,z,channel,groupID,parentID,cPnt,sDist,pDist,cAuto,cAngle,cLine,cLineNum,cx,cy,cz,cDate,cTime,mDate,mTime,cSeconds,mSeconds,userName,note,edgeList,isDirty,isBad,dynBad,intBad,progType,madeFrom,analParam,analResult1,analResult2,analResult3,analResult4,user1,user2,user3,userBool1,userBool2,userBool3,userType,bSpineMap,bSpineIdx,error,
0,pivotPnt,3,18.585,30.6,8,1,,0,0,,,,,,,,,,2015-09-30,12:20:21,2015-09-30,12:21:23,3526460421.271000,3526460483.739000,DefaultUser,,,,,,,,,,,,,,,,,,,,,,,,
1,controlPnt,2,18.569,30.595,8,1,,0,0,0,0,,,center,0,18.585,30.6,8,2015-09-30,12:20:53,2015-09-30,12:20:53,3526460453.642000,3526460453.643000,DefaultUser,,,,,,,,,,,,,,,,,,,,,,,,
2,controlPnt,2,17.861,29.818,8,1,,0,19,1.116,1.116,,,center,0,17.865,29.835,8,2015-09-30,12:20:55,2015-09-30,12:20:55,3526460455.364000,3526460455.365000,DefaultUser,,,,,,,,,,,,,,,,,,,,,,,,
3,controlPnt,2,16.89,28.915,8,1,,0,47,2.6105,2.6105,,,center,0,16.875,28.935,8,2015-09-30,12:20:57,2015-09-30,12:20:57,3526460457.281000,3526460457.281000,DefaultUser,,,,,,,,,,,,,,,,,,,,,,,,
4,controlPnt,2,16.616,28.435,8,1,,0,59,3.2174,3.2174,,,center,0,16.605,28.44,8,2015-09-30,12:21:00,2015-09-30,12:21:00,3526460460.822000,3526460460.822000,DefaultUser,,,,,,,,,,,,,,,,,,,,,,,,
5,controlPnt,2,15.998,28.195,8,1,,0,73,3.8956,3.8956,,,center,0,16.02,28.215,8,2015-09-30,12:21:02,2015-09-30,12:21:02,3526460462.392000,3526460462.394000,DefaultUser,,,,,,,,,,,,,,,,,,,,,,,,
6,controlPnt,2,15.267,27.361,7,1,,0,95,5.1202,5.1202,,,center,0,15.255,27.36,7,2015-09-30,12:21:05,2015-09-30,12:21:05,3526460465.815000,3526460465.816000,DefaultUser,,,,,,,,,,,,,,,,,,,,,,,,
7,controlPnt,2,14.81,26.71,7,1,,0,110,5.9366,5.9366,,,center,0,14.805,26.73,7,2015-09-30,12:21:09,2015-09-30,12:21:09,3526460469.394000,3526460469.395000,DefaultUser,,,,,,,,,,,,,,,,,,,,,,,,
8,controlPnt,2,13.976,25.544,7,1,,0,137,7.4421,7.4421,,,center,0,13.995,25.56,7,2015-09-30,12:21:12,2015-09-30,12:21:12,3526460472.117000,3526460472.118000,DefaultUser,,,,,,,,,,,,,,,,,,,,,,,,
9,controlPnt,2,12.811,23.487,7,1,,0,184,9.9967,9.9967,,,center,0,12.825,23.49,7,2015-09-30,12:21:14,2015-09-30,12:21:14,3526460474.025000,3526460474.026000,DefaultUser,,,,,,,,,,,,,,,,,,,,,,,,
10,spineROI,0,18.683,29.835,7,1,,0,9,0.57276,0.57276,1,268.93,radius1,1,18.271,30.138,8.4,2015-09-30,12:22:28,2015-09-30,12:22:28,3526460548.896000,3526460548.904000,DefaultUser,,,,,,,,,,,,,,,,,,,,,,,,
11,spineROI,0,17.404,28.677,7,1,,0,42,2.2923,2.2923,1,267.5,radius1,1,17.157,29.069,8,2015-09-30,12:22:30,2015-09-30,12:22:30,3526460550.695000,3526460550.705000,DefaultUser,,,,,,,,,,,,,,,,,,,,,,,,
12,spineROI,0,13.984,26.307,7,1,,0,124,6.708,6.708,1,86.717,radius2,2,14.257,26.19,7,2015-09-30,12:22:32,2015-09-30,12:22:32,3526460552.758000,3526460552.768000,DefaultUser,,,,,,,,,,,,,,,,,,,,,,,,
13,spineROI,0,13.634,24.14,7,1,,0,161,8.7194,8.7194,1,228.17,radius1,1,13.499,24.48,6.8,2015-09-30,12:22:34,2015-09-30,12:22:34,3526460554.163000,3526460554.175000,DefaultUser,,,,,,,,,,,,,,,,,,,,,,,,
14,spineROI,0,13.042,22.901,7,1,,0,183,9.9517,9.9517,1,208.42,radius1,1,12.94,23.529,7,2015-09-30,12:22:35,2015-09-30,12:22:35,3526460555.909000,3526460555.916000,DefaultUser,,,,,,,,,,,,,,,,,,,,,,,,
