stack=Kibra_10_3;stackdb=Kibra_10_3_db2;saveTime=3550303388.403000;version=20151224;numObjects=105;numSpines=88;condStr=None;pixelx=NaN;pixely=NaN;pixelz=NaN;voxelx=0.07;voxely=0.07;voxelz=0.38;
Idx,roiType,roiTypeNum,x,y,z,channel,groupID,parentID,cPnt,sDist,pDist,cAuto,cAngle,cLine,cLineNum,cx,cy,cz,cDate,cTime,mDate,mTime,cSeconds,mSeconds,userName,note,edgeList,isDirty,isBad,dynBad,intBad,progType,madeFrom,analParam,analResult1,analResult2,analResult3,analResult4,user1,user2,user3,userBool1,userBool2,userBool3,userType,bSpineMap,bSpineIdx,error,warning,
0,pivotPnt,3,18.13,65.94,16,1,,0,0,,,,,,,,,,2016-06-16,10:50:04,2016-06-16,10:52:12,3548919004.674000,3548919132.181000,Tian,,,,,,,,,,,,,,,,,,,,,,,,,
1,controlPnt,2,18.126,65.934,16,1,,0,0,0,0,,,center,0,18.13,65.94,16,2016-06-16,10:50:06,2016-06-16,10:50:06,3548919006.931000,3548919006.932000,Tian,,,,,,,,,,,,,,,,,,,,,,,,,
2,controlPnt,2,22.269,62.785,14,1,,0,62,5.5578,5.5578,,,center,0,22.26,62.79,14,2016-06-16,10:50:37,2016-06-16,10:50:37,3548919037.845000,3548919037.845000,Tian,,,,,,,,,,,,,,,,,,,,,,,,,
3,controlPnt,2,25.493,61.197,12,1,,0,111,9.5847,9.5847,,,center,0,25.48,61.18,12,2016-06-16,10:50:55,2016-06-16,10:50:55,3548919055.786000,3548919055.786000,Tian,,,,,,,,,,,,,,,,,,,,,,,,,
4,controlPnt,2,30.98,57.01,11,1,,0,197,17.1,17.1,,,center,0,31.01,56.98,11,2016-06-16,10:50:58,2016-06-16,10:50:58,3548919058.614000,3548919058.615000,Tian,,,,,,,,,,,,,,,,,,,,,,,,,
5,controlPnt,2,32.857,56.24,9,1,,0,224,19.239,19.239,,,center,0,32.83,56.21,9,2016-06-16,10:51:04,2016-06-16,10:51:04,3548919064.864000,3548919064.864000,Tian,,,,,,,,,,,,,,,,,,,,,,,,,
6,controlPnt,2,36.948,51.234,7,1,,0,307,26.371,26.371,,,center,0,36.96,51.24,7,2016-06-16,10:51:07,2016-06-16,10:51:07,3548919067.918000,3548919067.918000,Tian,,,,,,,,,,,,,,,,,,,,,,,,,
7,controlPnt,2,41.388,43.955,10,1,,0,415,35.601,35.601,,,center,0,41.37,43.96,10,2016-06-16,10:51:14,2016-06-16,10:51:14,3548919074.682000,3548919074.683000,Tian,,,,,,,,,,,,,,,,,,,,,,,,,
8,controlPnt,2,41.051,42.415,11,1,,0,438,37.286,37.286,,,center,0,41.02,42.42,11,2016-06-16,10:51:17,2016-06-16,10:51:17,3548919077.625000,3548919077.625000,Tian,,,,,,,,,,,,,,,,,,,,,,,,,
9,controlPnt,2,42.158,38.709,11,1,,0,492,41.518,41.518,,,center,0,42.14,38.71,11,2016-06-16,10:51:19,2016-06-16,10:51:19,3548919079.786000,3548919079.786000,Tian,,,,,,,,,,,,,,,,,,,,,,,,,
10,controlPnt,2,41.869,35.484,12,1,,0,539,44.912,44.912,,,center,0,41.86,35.49,12,2016-06-16,10:51:23,2016-06-16,10:51:23,3548919083.351000,3548919083.351000,Tian,,,,,,,,,,,,,,,,,,,,,,,,,
11,controlPnt,2,43.554,32.645,12,1,,0,581,48.478,48.478,,,center,0,43.54,32.62,12,2016-06-16,10:51:25,2016-06-16,10:51:25,3548919085.042000,3548919085.042000,Tian,,,,,,,,,,,,,,,,,,,,,,,,,
12,controlPnt,2,43.498,26.383,17,1,,0,671,55.084,55.084,,,center,0,43.47,26.39,17,2016-06-16,10:51:32,2016-06-16,10:51:32,3548919092.198000,3548919092.198000,Tian,,,,,,,,,,,,,,,,,,,,,,,,,
13,controlPnt,2,44.702,19.549,24,1,,0,770,62.64,62.64,,,center,0,44.73,19.53,24,2016-06-16,10:51:37,2016-06-16,10:51:37,3548919097.022000,3548919097.022000,Tian,,,,,,,,,,,,,,,,,,,,,,,,,
14,controlPnt,2,47.204,12.281,30,1,,0,875,70.935,70.935,,,center,0,47.18,12.25,30,2016-06-16,10:51:57,2016-06-16,10:51:57,3548919117.008000,3548919117.009000,Tian,,,,,,,,,,,,,,,,,,,,,,,,,
15,controlPnt,2,47.301,4.4843,33,1,,0,987,79.633,79.633,,,center,0,47.32,4.48,33,2016-06-16,10:52:00,2016-06-16,10:52:00,3548919120.034000,3548919120.034000,Tian,,,,,,,,,,,,,,,,,,,,,,,,,
16,controlPnt,2,49.178,0.53773,33,1,,0,1044,84.452,84.452,,,center,0,49.21,0.56,33,2016-06-16,10:52:02,2016-06-16,10:52:02,3548919122.415000,3548919122.415000,Tian,,,,,,,,,,,,,,,,,,,,,,,,,
17,spineROI,0,18.057,64.944,20,1,,0,7,0.63498,0.63498,0,88.617,radius2,2,18.419,65.367,18.2,2016-06-16,10:53:10,2016-07-02,09:34:54,3548919190.269000,3550296894.032000,Tian,,,,,,,,,,,,,,,,,,,,,,,#7 extending backbone error;,,
18,spineROI,0,18.849,64.355,19,1,,0,16,1.4389,1.4389,0,99.937,radius2,2,19.094,64.827,18,2016-06-16,10:53:20,2016-07-02,09:34:54,3548919200.517000,3550296894.034000,Tian,,,,,,,,,,,,,,,,,,,,,,,#7 extending backbone error;,,
19,spineROI,0,19.965,65.918,17,1,,0,22,1.9459,1.9459,0,235.61,radius1,1,19.812,65.102,17.6,2016-06-16,10:53:34,2016-07-02,09:34:54,3548919214.525000,3550296894.036000,Tian,,,,,,,,,,,,,,,,,,,,,,,#7 extending backbone error;,,
20,spineROI,0,19.783,63.725,15,1,,0,35,3.1169,3.1169,0,110.94,radius2,2,20.323,64.04,15,2016-06-16,10:53:38,2016-07-02,09:34:54,3548919218.678000,3550296894.038000,Tian,,,,,,,,,,,,,,,,,,,,,,,,,
21,spineROI,0,20.359,62.783,14,1,,0,45,3.9619,3.9619,0,98.322,radius2,2,20.916,63.471,15.6,2016-06-16,10:54:33,2016-07-02,09:34:54,3548919273.533000,3550296894.040000,Tian,,,,,,,,,,,,,,,,,,,,,,,,,
22,spineROI,0,22.491,61.91,15,1,,0,69,6.0068,6.0068,0,75.136,radius2,2,22.569,62.539,13,2016-06-16,10:54:37,2016-07-02,09:34:54,3548919277.521000,3550296894.042000,Tian,,,,,,,,,,,,,,,,,,,,,,,,,
23,spineROI,0,23.649,61.159,15,1,,0,92,8.0227,8.0227,0,87.727,radius2,2,23.949,61.517,13,2016-06-16,10:54:40,2016-07-02,09:34:54,3548919280.341000,3550296894.044000,Tian,,,,,,,,,,,,,,,,,,,,,,,,,
24,spineROI,0,26.309,62.276,13,1,,0,110,9.5147,9.5147,0,280.43,radius1,1,25.555,61.476,12,2016-06-16,10:54:51,2016-07-02,09:34:54,3548919291.858000,3550296894.045000,Tian,,,,,,,,,,,,,,,,,,,,,,,,,
25,spineROI,0,25.537,62.276,13,1,,0,108,9.3167,9.3167,0,248.08,radius1,1,25.424,61.549,12,2016-06-16,10:54:54,2016-07-02,09:34:54,3548919294.392000,3550296894.047000,Tian,,,,,,,,,,,,,,,,,,,,,,,,,
26,spineROI,0,25.232,59.697,12,1,,0,125,10.698,10.698,0,95.806,radius2,2,26.108,60.408,12,2016-06-16,11:03:36,2016-07-02,09:34:54,3548919816.669000,3550296894.049000,Tian,,,,,,,,,,,,,,,,,,,,,,,,,
27,spineROI,0,27.466,61.667,12,1,,0,128,10.995,10.995,0,267.88,radius1,1,26.717,60.658,11.2,2016-06-16,11:03:37,2016-07-02,09:34:54,3548919817.940000,3550296894.051000,Tian,,,,,,,,,,,,,,,,,,,,,,,,,
28,spineROI,0,26.166,59.189,9,1,,0,134,11.531,11.531,0,77.222,radius2,2,26.698,59.931,11,2016-06-16,11:03:48,2016-07-02,09:34:54,3548919828.073000,3550296894.053000,Tian,,,,,,,,,,,,,,,,,,,,,,,,,
29,spineROI,0,25.375,60.367,9,1,,0,116,9.9517,9.9517,0,74.885,radius2,2,25.506,60.691,11,2016-06-16,11:03:50,2016-07-02,09:34:54,3548919830.739000,3550296894.055000,Tian,,,,,,,,,,,,,,,,,,,,,,,,,
30,spineROI,0,24.786,63.068,9,1,,0,90,7.8247,7.8247,0,246.29,radius1,1,24.258,62.067,13,2016-06-16,11:03:52,2016-07-02,09:34:54,3548919832.129000,3550296894.056000,Tian,,,,,,,,,,,,,,,,,,,,,,,,,
31,spineROI,0,26.717,58.697,11,1,,0,141,12.166,12.166,0,75.569,radius2,2,27.101,59.43,11.8,2016-06-16,11:04:31,2016-07-02,09:34:54,3548919871.278000,3550296894.058000,Tian,,,,,,,,,,,,,,,,,,,,,,,,,
32,spineROI,0,28.503,60.301,11,1,,0,149,12.842,12.842,0,280.3,radius1,1,27.994,59.614,12,2016-06-16,11:04:32,2016-07-02,09:34:54,3548919872.593000,3550296894.060000,Tian,,,,,,,,,,,,,,,,,,,,,,,,,
33,spineROI,0,28.625,57.296,13,1,,0,171,14.758,14.758,0,75.76,radius2,2,29.061,58.114,11,2016-06-16,11:04:36,2016-07-02,09:34:54,3548919876.879000,3550296894.062000,Tian,,,,,,,,,,,,,,,,,,,,,,,,,
34,spineROI,0,29.62,59.611,10,1,,0,169,14.561,14.561,0,224.22,radius1,1,29.412,58.616,11,2016-06-16,11:05:03,2016-07-02,09:34:54,3548919903.977000,3550296894.064000,Tian,,,,,,,,,,,,,,,,,,,,,,,,,
35,spineROI,0,29.498,57.032,10,1,,0,183,15.83,15.83,0,90.911,radius2,2,29.843,57.446,10,2016-06-16,11:05:07,2016-07-02,09:34:54,3548919907.578000,3550296894.066000,Tian,,,,,,,,,,,,,,,,,,,,,,,,,
36,spineROI,0,30.108,56.423,10,1,,0,195,16.902,16.902,0,118.48,radius2,2,30.724,56.816,10.2,2016-06-16,11:05:09,2016-07-02,09:34:54,3548919909.758000,3550296894.068000,Tian,,,,,,,,,,,,,,,,,,,,,,,,,
37,spineROI,0,30.351,55.956,10,1,,0,193,16.762,16.762,0,72.125,radius2,2,30.576,56.905,10,2016-06-16,11:05:11,2016-07-02,09:34:54,3548919911.227000,3550296894.069000,Tian,,,,,,,,,,,,,,,,,,,,,,,,,
38,spineROI,0,31.001,55.692,10,1,,0,203,17.537,17.537,0,78.745,radius2,2,31.226,56.516,9,2016-06-16,11:05:12,2016-07-02,09:34:54,3548919912.160000,3550296894.071000,Tian,,,,,,,,,,,,,,,,,,,,,,,,,
39,spineROI,0,31.184,58.291,10,1,,0,188,16.267,16.267,0,281.37,radius1,1,30.552,57.688,10,2016-06-16,11:05:15,2016-07-02,09:34:54,3548919915.163000,3550296894.073000,Tian,,,,,,,,,,,,,,,,,,,,,,,,,
40,spineROI,0,32.19,57.793,8,1,,0,212,18.196,18.196,0,262.28,radius1,1,32.076,56.973,8,2016-06-16,11:07:34,2016-07-02,09:34:54,3548920054.230000,3550296894.075000,Tian,,,,,,,,,,,,,,,,,,,,,,,,,
41,spineROI,0,32.982,57.021,8,1,,0,223,19.169,19.169,0,240.51,radius1,1,32.905,56.506,9,2016-06-16,11:07:35,2016-07-02,09:34:54,3548920055.600000,3550296894.077000,Tian,,,,,,,,,,,,,,,,,,,,,,,,,
42,spineROI,0,33.773,57.204,8,1,,0,225,19.239,19.239,0,307.48,radius1,1,32.931,56.501,9,2016-06-16,11:07:36,2016-07-02,09:34:54,3548920056.613000,3550296894.079000,Tian,,,,,,,,,,,,,,,,,,,,,,,,,
43,spineROI,0,34.18,56.696,8,1,,0,235,20.055,20.055,0,253.87,radius1,1,33.722,56.047,8,2016-06-16,11:07:39,2016-07-02,09:34:54,3548920059.137000,3550296894.081000,Tian,,,,,,,,,,,,,,,,,,,,,,,,,
44,spineROI,0,34.403,56.209,7,1,,0,240,20.521,20.521,0,236.28,radius1,1,34.005,55.621,7.4,2016-06-16,11:07:41,2016-07-02,09:34:54,3548920061.397000,3550296894.082000,Tian,,,,,,,,,,,,,,,,,,,,,,,,,
45,spineROI,0,32.433,55.457,7,1,,0,239,20.451,20.451,0,115.77,radius2,2,33.43,55.446,7.6,2016-06-16,11:08:27,2016-07-02,09:34:54,3548920107.491000,3550296894.084000,Tian,,,,,,,,,,,,,,,,,,,,,,,,,
46,spineROI,0,33.144,53.732,7,1,,0,248,21.139,21.139,0,20.197,radius2,2,33.58,54.95,7,2016-06-16,11:08:30,2016-07-02,09:34:54,3548920110.607000,3550296894.086000,Tian,,,,,,,,,,,,,,,,,,,,,,,,,
47,spineROI,0,35.012,55.254,6,1,,0,251,21.349,21.349,0,274.23,radius1,1,34.19,54.874,7,2016-06-16,11:08:33,2016-07-02,09:34:54,3548920113.370000,3550296894.088000,Tian,,,,,,,,,,,,,,,,,,,,,,,,,
48,spineROI,0,34.119,53.305,7,1,,0,267,22.788,22.788,0,101.53,radius2,2,34.5,53.503,7,2016-06-16,11:08:35,2016-07-02,09:34:54,3548920115.522000,3550296894.090000,Tian,,,,,,,,,,,,,,,,,,,,,,,,,
49,spineROI,0,35.499,54.3,8,1,,0,264,22.52,22.52,0,280.2,radius1,1,34.851,54.054,7,2016-06-16,11:08:39,2016-07-02,09:34:54,3548920119.203000,3550296894.092000,Tian,,,,,,,,,,,,,,,,,,,,,,,,,
50,spineROI,0,34.965,51.382,8,1,,0,286,24.582,24.582,0,102.71,radius2,2,35.826,52.285,7,2016-06-16,11:09:55,2016-07-02,09:34:54,3548920195.921000,3550296894.093000,Tian,,,,,,,,,,,,,,,,,,,,,,,,,
51,spineROI,0,37.199,52.682,9,1,,0,294,25.258,25.258,0,262.52,radius1,1,36.727,52.304,7.4,2016-06-16,11:09:57,2016-07-02,09:34:54,3548920197.850000,3550296894.095000,Tian,,,,,,,,,,,,,,,,,,,,,,,,,
52,spineROI,0,38.762,50.55,7,1,,0,327,28.078,28.078,0,260.85,radius1,1,38.236,50.184,8,2016-06-16,11:10:03,2016-07-02,09:34:54,3548920203.236000,3550296894.097000,Tian,,,,,,,,,,,,,,,,,,,,,,,,,
53,spineROI,0,38.986,50.103,7,1,,0,334,28.597,28.597,0,243.53,radius1,1,38.346,49.619,8,2016-06-16,11:10:07,2016-07-02,09:34:54,3548920207.887000,3550296894.099000,Tian,,,,,,,,,,,,,,,,,,,,,,,,,
54,spineROI,0,37.544,47.179,9,1,,0,347,29.594,29.594,0,63.933,radius2,2,38.067,48.449,9,2016-06-16,11:10:11,2016-07-02,09:34:54,3548920211.054000,3550296894.101000,Tian,,,,,,,,,,,,,,,,,,,,,,,,,
55,spineROI,0,37.355,49.419,9,1,,0,335,28.667,28.667,0,108.32,radius2,2,37.779,49.404,8,2016-06-16,11:10:18,2016-07-02,09:34:54,3548920218.171000,3550296894.103000,Tian,,,,,,,,,,,,,,,,,,,,,,,,,
56,spineROI,0,37.071,50.251,9,1,,0,320,27.443,27.443,0,111.6,radius2,2,37.398,50.353,7.4,2016-06-16,11:10:19,2016-07-02,09:34:54,3548920219.359000,3550296894.105000,Tian,,,,,,,,,,,,,,,,,,,,,,,,,
57,spineROI,0,38.364,46.04,9,1,,0,376,32.233,32.233,0,97.471,radius2,2,39.492,46.486,10,2016-06-16,11:12:10,2016-07-02,09:34:54,3548920330.378000,3550296894.106000,Tian,,,,,,,,,,,,,,,,,,,,,,,,,
