stack=Kibra_10_6;stackdb=Kibra_10_6_db2;saveTime=3548935570.477000;version=20151224;numHeaderRow=1;
On,Idx,sID,gID,start,stop,n,um,nObj,r,c,flipDendrite,flipSpines,swcFile,startIs,stopIs
,0,0,NaN,0,957,958,81.7,110,0.3,62,0,0,,,,
node,type,x,y,z,zFloor,radius,radiusFit,prevNode,ID,gID,tx,ty,tz,sDist,sDist3d,pDist,pDist3d,Filament,SetID,GroupID
NaN,NaN,17.709999,67.410004,8.000000,8.000000,NaN,NaN,-1.000000,0.000000,NaN,NaN,NaN,NaN,0.000000,0.000000,0.000000,0.000000,NaN,NaN,NaN,
NaN,NaN,17.780001,67.410004,9.000000,9.000000,NaN,NaN,0.000000,0.000000,NaN,NaN,NaN,NaN,0.070002,0.386394,0.070002,0.386394,NaN,NaN,NaN,
NaN,NaN,17.850000,67.339996,10.000000,10.000000,NaN,NaN,1.000000,0.000000,NaN,NaN,NaN,NaN,0.169002,0.779078,0.169002,0.779078,NaN,NaN,NaN,
NaN,NaN,17.920000,67.269997,10.000000,10.000000,NaN,NaN,2.000000,0.000000,NaN,NaN,NaN,NaN,0.267996,0.878073,0.267996,0.878073,NaN,NaN,NaN,
NaN,NaN,17.990000,67.269997,10.000000,10.000000,NaN,NaN,3.000000,0.000000,NaN,NaN,NaN,NaN,0.337996,0.948072,0.337996,0.948072,NaN,NaN,NaN,
NaN,NaN,18.059999,67.269997,10.000000,10.000000,NaN,NaN,4.000000,0.000000,NaN,NaN,NaN,NaN,0.407995,1.018072,0.407995,1.018072,NaN,NaN,NaN,
NaN,NaN,18.129999,67.199997,10.000000,10.000000,NaN,NaN,5.000000,0.000000,NaN,NaN,NaN,NaN,0.506990,1.117067,0.506990,1.117067,NaN,NaN,NaN,
NaN,NaN,18.200001,67.199997,10.000000,10.000000,NaN,NaN,6.000000,0.000000,NaN,NaN,NaN,NaN,0.576992,1.187068,0.576992,1.187068,NaN,NaN,NaN,
NaN,NaN,18.270000,67.129997,9.000000,9.000000,NaN,NaN,7.000000,0.000000,NaN,NaN,NaN,NaN,0.675986,1.579751,0.675986,1.579751,NaN,NaN,NaN,
NaN,NaN,18.340000,67.059998,10.000000,10.000000,NaN,NaN,8.000000,0.000000,NaN,NaN,NaN,NaN,0.774981,1.972434,0.774981,1.972434,NaN,NaN,NaN,
NaN,NaN,18.410000,66.989998,10.000000,10.000000,NaN,NaN,9.000000,0.000000,NaN,NaN,NaN,NaN,0.873975,2.071429,0.873975,2.071429,NaN,NaN,NaN,
NaN,NaN,18.480000,66.989998,9.000000,9.000000,NaN,NaN,10.000000,0.000000,NaN,NaN,NaN,NaN,0.943975,2.457822,0.943975,2.457822,NaN,NaN,NaN,
NaN,NaN,18.549999,66.989998,9.000000,9.000000,NaN,NaN,11.000000,0.000000,NaN,NaN,NaN,NaN,1.013974,2.527822,1.013974,2.527822,NaN,NaN,NaN,
NaN,NaN,18.620001,66.919998,9.000000,9.000000,NaN,NaN,12.000000,0.000000,NaN,NaN,NaN,NaN,1.112970,2.626818,1.112970,2.626818,NaN,NaN,NaN,
NaN,NaN,18.690001,66.919998,9.000000,9.000000,NaN,NaN,13.000000,0.000000,NaN,NaN,NaN,NaN,1.182970,2.696817,1.182970,2.696817,NaN,NaN,NaN,
NaN,NaN,18.760000,66.919998,9.000000,9.000000,NaN,NaN,14.000000,0.000000,NaN,NaN,NaN,NaN,1.252970,2.766817,1.252970,2.766817,NaN,NaN,NaN,
NaN,NaN,18.830000,66.919998,9.000000,9.000000,NaN,NaN,15.000000,0.000000,NaN,NaN,NaN,NaN,1.322969,2.836817,1.322969,2.836817,NaN,NaN,NaN,
NaN,NaN,18.900000,66.849998,9.000000,9.000000,NaN,NaN,16.000000,0.000000,NaN,NaN,NaN,NaN,1.421964,2.935811,1.421964,2.935811,NaN,NaN,NaN,
NaN,NaN,18.969999,66.779999,9.000000,9.000000,NaN,NaN,17.000000,0.000000,NaN,NaN,NaN,NaN,1.520958,3.034806,1.520958,3.034806,NaN,NaN,NaN,
NaN,NaN,19.040001,66.779999,9.000000,9.000000,NaN,NaN,18.000000,0.000000,NaN,NaN,NaN,NaN,1.590960,3.104807,1.590960,3.104807,NaN,NaN,NaN,
NaN,NaN,19.110001,66.779999,9.000000,9.000000,NaN,NaN,19.000000,0.000000,NaN,NaN,NaN,NaN,1.660960,3.174807,1.660960,3.174807,NaN,NaN,NaN,
NaN,NaN,19.180000,66.779999,8.000000,8.000000,NaN,NaN,20.000000,0.000000,NaN,NaN,NaN,NaN,1.730959,3.561201,1.730959,3.561201,NaN,NaN,NaN,
NaN,NaN,19.250000,66.709999,8.000000,8.000000,NaN,NaN,21.000000,0.000000,NaN,NaN,NaN,NaN,1.829954,3.660195,1.829954,3.660195,NaN,NaN,NaN,
NaN,NaN,19.320000,66.639999,8.000000,8.000000,NaN,NaN,22.000000,0.000000,NaN,NaN,NaN,NaN,1.928949,3.759190,1.928949,3.759190,NaN,NaN,NaN,
NaN,NaN,19.320000,66.570000,8.000000,8.000000,NaN,NaN,23.000000,0.000000,NaN,NaN,NaN,NaN,1.998948,3.829190,1.998948,3.829190,NaN,NaN,NaN,
NaN,NaN,19.320000,66.570000,8.000000,8.000000,NaN,NaN,24.000000,0.000000,NaN,NaN,NaN,NaN,1.998948,3.829190,1.998948,3.829190,NaN,NaN,NaN,
NaN,NaN,19.320000,66.500000,9.000000,9.000000,NaN,NaN,25.000000,0.000000,NaN,NaN,NaN,NaN,2.068948,4.215583,2.068948,4.215583,NaN,NaN,NaN,
NaN,NaN,19.389999,66.430000,9.000000,9.000000,NaN,NaN,26.000000,0.000000,NaN,NaN,NaN,NaN,2.167943,4.314578,2.167943,4.314578,NaN,NaN,NaN,
NaN,NaN,19.389999,66.360001,9.000000,9.000000,NaN,NaN,27.000000,0.000000,NaN,NaN,NaN,NaN,2.237942,4.384577,2.237942,4.384577,NaN,NaN,NaN,
NaN,NaN,19.459999,66.290001,9.000000,9.000000,NaN,NaN,28.000000,0.000000,NaN,NaN,NaN,NaN,2.336937,4.483572,2.336937,4.483572,NaN,NaN,NaN,
NaN,NaN,19.530001,66.220001,9.000000,9.000000,NaN,NaN,29.000000,0.000000,NaN,NaN,NaN,NaN,2.435932,4.582568,2.435932,4.582568,NaN,NaN,NaN,
NaN,NaN,19.530001,66.150002,9.000000,9.000000,NaN,NaN,30.000000,0.000000,NaN,NaN,NaN,NaN,2.505932,4.652567,2.505932,4.652567,NaN,NaN,NaN,
NaN,NaN,19.530001,66.080002,9.000000,9.000000,NaN,NaN,31.000000,0.000000,NaN,NaN,NaN,NaN,2.575932,4.722567,2.575932,4.722567,NaN,NaN,NaN,
NaN,NaN,19.530001,66.010002,9.000000,9.000000,NaN,NaN,32.000000,0.000000,NaN,NaN,NaN,NaN,2.645931,4.792567,2.645931,4.792567,NaN,NaN,NaN,
NaN,NaN,19.600000,65.940002,8.000000,8.000000,NaN,NaN,33.000000,0.000000,NaN,NaN,NaN,NaN,2.744926,5.185250,2.744926,5.185250,NaN,NaN,NaN,
NaN,NaN,19.670000,65.870003,8.000000,8.000000,NaN,NaN,34.000000,0.000000,NaN,NaN,NaN,NaN,2.843921,5.284244,2.843921,5.284244,NaN,NaN,NaN,
NaN,NaN,19.670000,65.800003,8.000000,8.000000,NaN,NaN,35.000000,0.000000,NaN,NaN,NaN,NaN,2.913920,5.354244,2.913920,5.354244,NaN,NaN,NaN,
NaN,NaN,19.670000,65.730003,8.000000,8.000000,NaN,NaN,36.000000,0.000000,NaN,NaN,NaN,NaN,2.983920,5.424243,2.983920,5.424243,NaN,NaN,NaN,
NaN,NaN,19.740000,65.660004,8.000000,8.000000,NaN,NaN,37.000000,0.000000,NaN,NaN,NaN,NaN,3.082915,5.523238,3.082915,5.523238,NaN,NaN,NaN,
NaN,NaN,19.740000,65.589996,8.000000,8.000000,NaN,NaN,38.000000,0.000000,NaN,NaN,NaN,NaN,3.152922,5.593246,3.152922,5.593246,NaN,NaN,NaN,
NaN,NaN,19.740000,65.519997,8.000000,8.000000,NaN,NaN,39.000000,0.000000,NaN,NaN,NaN,NaN,3.222922,5.663245,3.222922,5.663245,NaN,NaN,NaN,
