stack=Kibra_9_3;stackdb=Kibra_9_3_db2;saveTime=3548926957.759000;version=20151224;numHeaderRow=1;
On,Idx,sID,gID,start,stop,n,um,nObj,r,c,flipDendrite,flipSpines,swcFile,startIs,stopIs
,0,0,NaN,0,942,943,80,88,0.3,62,0,0,,,,
node,type,x,y,z,zFloor,radius,radiusFit,prevNode,ID,gID,tx,ty,tz,sDist,sDist3d,pDist,pDist3d,Filament,SetID,GroupID
NaN,NaN,60.130001,54.950001,5.000000,5.000000,NaN,NaN,-1.000000,0.000000,NaN,NaN,NaN,NaN,0.000000,0.000000,0.000000,0.000000,NaN,NaN,NaN,
NaN,NaN,60.130001,54.880001,5.000000,5.000000,NaN,NaN,0.000000,0.000000,NaN,NaN,NaN,NaN,0.070000,0.070000,0.070000,0.070000,NaN,NaN,NaN,
NaN,NaN,60.060001,54.810001,4.000000,4.000000,NaN,NaN,1.000000,0.000000,NaN,NaN,NaN,NaN,0.168994,0.462683,0.168994,0.462683,NaN,NaN,NaN,
NaN,NaN,59.990002,54.740002,4.000000,4.000000,NaN,NaN,2.000000,0.000000,NaN,NaN,NaN,NaN,0.267989,0.561677,0.267989,0.561677,NaN,NaN,NaN,
NaN,NaN,59.919998,54.669998,4.000000,4.000000,NaN,NaN,3.000000,0.000000,NaN,NaN,NaN,NaN,0.366989,0.660677,0.366989,0.660677,NaN,NaN,NaN,
NaN,NaN,59.849998,54.669998,4.000000,4.000000,NaN,NaN,4.000000,0.000000,NaN,NaN,NaN,NaN,0.436988,0.730677,0.436988,0.730677,NaN,NaN,NaN,
NaN,NaN,59.779999,54.669998,4.000000,4.000000,NaN,NaN,5.000000,0.000000,NaN,NaN,NaN,NaN,0.506988,0.800676,0.506988,0.800676,NaN,NaN,NaN,
NaN,NaN,59.709999,54.669998,4.000000,4.000000,NaN,NaN,6.000000,0.000000,NaN,NaN,NaN,NaN,0.576988,0.870676,0.576988,0.870676,NaN,NaN,NaN,
NaN,NaN,59.639999,54.669998,4.000000,4.000000,NaN,NaN,7.000000,0.000000,NaN,NaN,NaN,NaN,0.646987,0.940676,0.646987,0.940676,NaN,NaN,NaN,
NaN,NaN,59.570000,54.669998,4.000000,4.000000,NaN,NaN,8.000000,0.000000,NaN,NaN,NaN,NaN,0.716987,1.010676,0.716987,1.010676,NaN,NaN,NaN,
NaN,NaN,59.500000,54.669998,4.000000,4.000000,NaN,NaN,9.000000,0.000000,NaN,NaN,NaN,NaN,0.786987,1.080675,0.786987,1.080675,NaN,NaN,NaN,
NaN,NaN,59.430000,54.599998,4.000000,4.000000,NaN,NaN,10.000000,0.000000,NaN,NaN,NaN,NaN,0.885981,1.179670,0.885981,1.179670,NaN,NaN,NaN,
NaN,NaN,59.360001,54.599998,4.000000,4.000000,NaN,NaN,11.000000,0.000000,NaN,NaN,NaN,NaN,0.955981,1.249669,0.955981,1.249669,NaN,NaN,NaN,
NaN,NaN,59.290001,54.599998,4.000000,4.000000,NaN,NaN,12.000000,0.000000,NaN,NaN,NaN,NaN,1.025981,1.319669,1.025981,1.319669,NaN,NaN,NaN,
NaN,NaN,59.220001,54.599998,4.000000,4.000000,NaN,NaN,13.000000,0.000000,NaN,NaN,NaN,NaN,1.095980,1.389669,1.095980,1.389669,NaN,NaN,NaN,
NaN,NaN,59.150002,54.599998,4.000000,4.000000,NaN,NaN,14.000000,0.000000,NaN,NaN,NaN,NaN,1.165980,1.459669,1.165980,1.459669,NaN,NaN,NaN,
NaN,NaN,59.080002,54.599998,4.000000,4.000000,NaN,NaN,15.000000,0.000000,NaN,NaN,NaN,NaN,1.235980,1.529668,1.235980,1.529668,NaN,NaN,NaN,
NaN,NaN,59.009998,54.599998,4.000000,4.000000,NaN,NaN,16.000000,0.000000,NaN,NaN,NaN,NaN,1.305983,1.599672,1.305983,1.599672,NaN,NaN,NaN,
NaN,NaN,58.939999,54.529999,3.000000,3.000000,NaN,NaN,17.000000,0.000000,NaN,NaN,NaN,NaN,1.404978,1.992355,1.404978,1.992355,NaN,NaN,NaN,
NaN,NaN,58.869999,54.529999,4.000000,4.000000,NaN,NaN,18.000000,0.000000,NaN,NaN,NaN,NaN,1.474977,2.378748,1.474977,2.378748,NaN,NaN,NaN,
NaN,NaN,58.799999,54.459999,5.000000,5.000000,NaN,NaN,19.000000,0.000000,NaN,NaN,NaN,NaN,1.573972,2.771431,1.573972,2.771431,NaN,NaN,NaN,
NaN,NaN,58.730000,54.459999,4.000000,4.000000,NaN,NaN,20.000000,0.000000,NaN,NaN,NaN,NaN,1.643972,3.157825,1.643972,3.157825,NaN,NaN,NaN,
NaN,NaN,58.660000,54.459999,4.000000,4.000000,NaN,NaN,21.000000,0.000000,NaN,NaN,NaN,NaN,1.713971,3.227824,1.713971,3.227824,NaN,NaN,NaN,
NaN,NaN,58.590000,54.459999,4.000000,4.000000,NaN,NaN,22.000000,0.000000,NaN,NaN,NaN,NaN,1.783971,3.297824,1.783971,3.297824,NaN,NaN,NaN,
NaN,NaN,58.520000,54.459999,4.000000,4.000000,NaN,NaN,23.000000,0.000000,NaN,NaN,NaN,NaN,1.853971,3.367824,1.853971,3.367824,NaN,NaN,NaN,
NaN,NaN,58.450001,54.459999,4.000000,4.000000,NaN,NaN,24.000000,0.000000,NaN,NaN,NaN,NaN,1.923970,3.437824,1.923970,3.437824,NaN,NaN,NaN,
