stack=X410;stackdb=X410_db2;saveTime=3550303390.870000;version=20151224;numObjects=122;numSpines=107;condStr=None;pixelx=NaN;pixely=NaN;pixelz=NaN;voxelx=0.07;voxely=0.07;voxelz=0.38;
Idx,roiType,roiTypeNum,x,y,z,channel,groupID,parentID,cPnt,sDist,pDist,cAuto,cAngle,cLine,cLineNum,cx,cy,cz,cDate,cTime,mDate,mTime,cSeconds,mSeconds,userName,note,edgeList,isDirty,isBad,dynBad,intBad,progType,madeFrom,analParam,analResult1,analResult2,analResult3,analResult4,user1,user2,user3,userBool1,userBool2,userBool3,userType,bSpineMap,bSpineIdx,error,warning,
0,pivotPnt,3,63.91,62.65,21,1,,0,0,,,,,,,,,,2016-06-14,14:06:14,2016-06-14,14:07:02,3548757974.700000,3548758022.027000,Tian,,,,,,,,,,,,,,,,,,,,,,,,,
1,controlPnt,2,63.895,62.641,21,1,,0,0,0,0,,,center,0,63.91,62.65,21,2016-06-14,14:06:20,2016-06-14,14:06:20,3548757980.551000,3548757980.552000,Tian,,,,,,,,,,,,,,,,,,,,,,,,,
2,controlPnt,2,58.095,58.296,21,1,,0,88,7.8707,7.8707,,,center,0,58.1,58.31,21,2016-06-14,14:06:23,2016-06-14,14:06:23,3548757983.016000,3548757983.016000,Tian,,,,,,,,,,,,,,,,,,,,,,,,,
3,controlPnt,2,52.208,53.593,22,1,,0,181,16.021,16.021,,,center,0,52.22,53.62,22,2016-06-14,14:06:25,2016-06-14,14:06:25,3548757985.107000,3548757985.108000,Tian,,,,,,,,,,,,,,,,,,,,,,,,,
4,controlPnt,2,48.985,50.678,22,1,,0,231,20.582,20.582,,,center,0,49,50.68,22,2016-06-14,14:06:26,2016-06-14,14:06:26,3548757986.820000,3548757986.821000,Tian,,,,,,,,,,,,,,,,,,,,,,,,,
5,controlPnt,2,43.918,46.282,19,1,,0,311,27.765,27.765,,,center,0,43.89,46.27,19,2016-06-14,14:06:28,2016-06-14,14:06:28,3548757988.684000,3548757988.685000,Tian,,,,,,,,,,,,,,,,,,,,,,,,,
6,controlPnt,2,40.357,42.183,19,1,,0,375,33.48,33.48,,,center,0,40.39,42.21,19,2016-06-14,14:06:30,2016-06-14,14:06:30,3548757990.203000,3548757990.204000,Tian,,,,,,,,,,,,,,,,,,,,,,,,,
7,controlPnt,2,36.755,39.196,16,1,,0,429,38.407,38.407,,,center,0,36.75,39.2,16,2016-06-14,14:06:32,2016-06-14,14:06:32,3548757992.161000,3548757992.162000,Tian,,,,,,,,,,,,,,,,,,,,,,,,,
8,controlPnt,2,30.669,34.216,15,1,,0,522,46.761,46.761,,,center,0,30.66,34.23,15,2016-06-14,14:06:35,2016-06-14,14:06:35,3548757995.342000,3548757995.342000,Tian,,,,,,,,,,,,,,,,,,,,,,,,,
9,controlPnt,2,25.366,29.553,13,1,,0,609,54.434,54.434,,,center,0,25.34,29.54,13,2016-06-14,14:06:38,2016-06-14,14:06:38,3548757998.829000,3548757998.830000,Tian,,,,,,,,,,,,,,,,,,,,,,,,,
10,controlPnt,2,21.411,24.394,11,1,,0,686,61.32,61.32,,,center,0,21.42,24.36,11,2016-06-14,14:06:41,2016-06-14,14:06:41,3548758001.891000,3548758001.892000,Tian,,,,,,,,,,,,,,,,,,,,,,,,,
