stack=X410;stackdb=X410_db2;saveTime=3548758413.015000;version=20151224;numHeaderRow=1;
On,Idx,sID,gID,start,stop,n,um,nObj,r,c,flipDendrite,flipSpines,swcFile,startIs,stopIs
,0,0,NaN,0,1027,1028,90.9,7,0.3,62,0,0,,,,
node,type,x,y,z,zFloor,radius,radiusFit,prevNode,ID,gID,tx,ty,tz,sDist,sDist3d,pDist,pDist3d,Filament,SetID,GroupID
NaN,NaN,63.910000,62.650002,21.000000,21.000000,NaN,NaN,-1.000000,0.000000,NaN,NaN,NaN,NaN,0.000000,0.000000,0.000000,0.000000,NaN,NaN,NaN,
NaN,NaN,63.840000,62.580002,20.000000,20.000000,NaN,NaN,0.000000,0.000000,NaN,NaN,NaN,NaN,0.098995,0.392683,0.098995,0.392683,NaN,NaN,NaN,
NaN,NaN,63.770000,62.580002,20.000000,20.000000,NaN,NaN,1.000000,0.000000,NaN,NaN,NaN,NaN,0.168994,0.462683,0.168994,0.462683,NaN,NaN,NaN,
NaN,NaN,63.700001,62.580002,20.000000,20.000000,NaN,NaN,2.000000,0.000000,NaN,NaN,NaN,NaN,0.238994,0.532682,0.238994,0.532682,NaN,NaN,NaN,
NaN,NaN,63.630001,62.580002,20.000000,20.000000,NaN,NaN,3.000000,0.000000,NaN,NaN,NaN,NaN,0.308994,0.602682,0.308994,0.602682,NaN,NaN,NaN,
NaN,NaN,63.560001,62.650002,20.000000,20.000000,NaN,NaN,4.000000,0.000000,NaN,NaN,NaN,NaN,0.407988,0.701677,0.407988,0.701677,NaN,NaN,NaN,
NaN,NaN,63.490002,62.650002,20.000000,20.000000,NaN,NaN,5.000000,0.000000,NaN,NaN,NaN,NaN,0.477988,0.771676,0.477988,0.771676,NaN,NaN,NaN,
NaN,NaN,63.419998,62.580002,20.000000,20.000000,NaN,NaN,6.000000,0.000000,NaN,NaN,NaN,NaN,0.576985,0.870673,0.576985,0.870673,NaN,NaN,NaN,
NaN,NaN,63.349998,62.580002,20.000000,20.000000,NaN,NaN,7.000000,0.000000,NaN,NaN,NaN,NaN,0.646985,0.940673,0.646985,0.940673,NaN,NaN,NaN,
NaN,NaN,63.279999,62.580002,20.000000,20.000000,NaN,NaN,8.000000,0.000000,NaN,NaN,NaN,NaN,0.716984,1.010673,0.716984,1.010673,NaN,NaN,NaN,
NaN,NaN,63.209999,62.509998,20.000000,20.000000,NaN,NaN,9.000000,0.000000,NaN,NaN,NaN,NaN,0.815982,1.109670,0.815982,1.109670,NaN,NaN,NaN,
NaN,NaN,63.139999,62.509998,20.000000,20.000000,NaN,NaN,10.000000,0.000000,NaN,NaN,NaN,NaN,0.885981,1.179670,0.885981,1.179670,NaN,NaN,NaN,
NaN,NaN,63.070000,62.439999,20.000000,20.000000,NaN,NaN,11.000000,0.000000,NaN,NaN,NaN,NaN,0.984976,1.278664,0.984976,1.278664,NaN,NaN,NaN,
NaN,NaN,63.000000,62.439999,19.000000,19.000000,NaN,NaN,12.000000,0.000000,NaN,NaN,NaN,NaN,1.054976,1.665058,1.054976,1.665058,NaN,NaN,NaN,
NaN,NaN,62.930000,62.369999,19.000000,19.000000,NaN,NaN,13.000000,0.000000,NaN,NaN,NaN,NaN,1.153970,1.764052,1.153970,1.764052,NaN,NaN,NaN,
NaN,NaN,62.860001,62.299999,20.000000,20.000000,NaN,NaN,14.000000,0.000000,NaN,NaN,NaN,NaN,1.252965,2.156735,1.252965,2.156735,NaN,NaN,NaN,
